created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 02 03:55:00 +0000 2024;1763774984378568833;"Empat santri senior yang aniaya Bintang hingga tewas jalani tes kejiwaan. Hasilnya, terungkap pemicu aksi mereka.  https://t.co/V2L3AWJzxw";0;0;0;0;in;69183155;1763774984378568833;detikcom;https://twitter.com/detikcom/status/1763774984378568833
Sat Mar 02 03:54:09 +0000 2024;1763774772687892968;"@upi_lawas Santri jg pengen nongkrong";0;0;0;0;in;1493992899889233920;1763772417812640157;OtolKoing;https://twitter.com/OtolKoing/status/1763774772687892968
Sat Mar 02 03:47:53 +0000 2024;1763773195965096081;"g jarang kasus sm santri, krn gampang main tangan";0;1;0;0;in;1331719550887358464;1763773192538292323;axthentics;https://twitter.com/axthentics/status/1763773195965096081
Sat Mar 02 03:44:23 +0000 2024;1763772315144429960;"gakmau nikah sama yg modelan anak Santri, ternyata diberi Suami anak santri, yg demen bgt ceramahh😭";0;0;0;0;in;974168720066035713;1763772315144429960;xxsaaxxx;https://twitter.com/xxsaaxxx/status/1763772315144429960
Sat Mar 02 03:43:55 +0000 2024;1763772197460681111;"@j_lomungil @bdg @bdgfess @halo_bandung @infobdg @CircleKStores Tutup paksa saja jika dilingkungan pesantren, sebelum para santri dirusak oleh budaya2 mereka yg bebas.";0;0;0;0;in;1330147212047904769;1763714112327213566;RusliyaU;https://twitter.com/RusliyaU/status/1763772197460681111
Sat Mar 02 03:40:50 +0000 2024;1763771419631247799;"@martabakismissu iih iya jin yg di pesantren tuh knp bnyk yg nyerupain wajah santri ya? soalnya aku jg prnh ngalamin jam 2 mlm kebangun trs liat temenku lompat2 kyk nahan kencing. paginya tak guyonin "eh km kok klo mau kencing lucu si lompat2 wkwk" malah plottwist katanya dia ga pipis samsek smlm";0;1;0;0;in;1322036112731201536;1763539688990933047;babanteteng;https://twitter.com/babanteteng/status/1763771419631247799
Sat Mar 02 03:40:30 +0000 2024;1763771335917068465;"@tvOneNews Kyai kampung itu gak peduli dg hak angket karena bukan urusannya, hak angket urusan DPR klo Kyai kampung urusannya ngajari santri ngaji";0;0;0;0;in;786818570814562304;1763590815363080341;suwito_abdullah;https://twitter.com/suwito_abdullah/status/1763771335917068465
Sat Mar 02 03:38:10 +0000 2024;1763770750539108365;"Sabar ya sayang, InsyaaAllah Ramadhan ini abang² bareng kakak² di @SYatimPedalaman akan mengikhtiarkan lagi untuk takjil kalian yang sedang belajar berpuasa. 🥲💪💪  Mau nggak 1 donatur penuhi kebutuhan takjil 1 santri dipedalaman? 10rb/paket https://t.co/N5DAuaM0YT";0;1;0;2;in;1069779728578437121;1763770750539108365;IbrahimAzzaini;https://twitter.com/IbrahimAzzaini/status/1763770750539108365
Sat Mar 02 03:38:03 +0000 2024;1763770717940892006;"@milonasionall mw temenan sm jungwon anak santri";0;1;0;0;ht;1746120776389152768;1763763164376862883;cakeuist;https://twitter.com/cakeuist/status/1763770717940892006
Sat Mar 02 03:34:12 +0000 2024;1763769749610361191;"Sejak kemarin kurang sehat. Nggak bisa ingin kegiatan.  Bismillah hari ini insyaaAllah aktif lagi.   Alhamdulillah sedang ikhtiar untuk mencari kebutuhan takjil para santri yatim dhuafa dan mualaf dipedalaman  10rb/paket 🙂🙏🏻";0;0;0;2;in;1069779728578437121;1763769749610361191;IbrahimAzzaini;https://twitter.com/IbrahimAzzaini/status/1763769749610361191
Sat Mar 02 03:34:11 +0000 2024;1763769748096180570;"Tewasnya Santri Banyuwangi di Kediri Kuak Kasus Lain di Blitar dan Malang, 1.200 Ponpes Tak Berizin https://t.co/n09N0ncnFN";0;0;0;0;in;2481414283;1763769748096180570;inmalangraya;https://twitter.com/inmalangraya/status/1763769748096180570
Sat Mar 02 03:26:31 +0000 2024;1763767816703050042;"@Fzallrr Hadir";0;0;0;0;en;1683773900667379714;1757019293441839328;KangSantri37459;https://twitter.com/KangSantri37459/status/1763767816703050042
Sat Mar 02 03:23:27 +0000 2024;1763767043751567530;"😭😭😭😭😭Lihat video santri salaf! #TikTok https://t.co/3KQeGFCYV5";0;0;0;1;in;1565278686555013121;1763767043751567530;fransis74201222;https://twitter.com/fransis74201222/status/1763767043751567530
Sat Mar 02 03:22:55 +0000 2024;1763766913170280756;"Lihat video santri salaf! #TikTok https://t.co/03HwUr9AaQ";0;0;0;0;in;1565278686555013121;1763766913170280756;fransis74201222;https://twitter.com/fransis74201222/status/1763766913170280756
Sat Mar 02 03:22:29 +0000 2024;1763766801434112483;"Lihat video santri salaf! #TikTok https://t.co/rYT69GfTKo";0;0;0;0;in;1565278686555013121;1763766801434112483;fransis74201222;https://twitter.com/fransis74201222/status/1763766801434112483
Sat Mar 02 03:21:24 +0000 2024;1763766528917557583;"Pesantren2 sekarang banyak sekali, harus ada pengawasan dan evaluasi dari pihak berwenang  agar tidak terjadi praktek penyimpangan yg merugikan para santri";0;0;0;0;in;1089314493480394752;1763766528917557583;djumelan;https://twitter.com/djumelan/status/1763766528917557583
Sat Mar 02 03:14:05 +0000 2024;1763764689941696813;"KemenPPPA Sebut Salah Satu Tersangka Penganiaya Santri di Kediri Punya Hubungan Keluarga https://t.co/JQmaqfxmla #Health";0;0;0;1;in;47596019;1763764689941696813;liputan6dotcom;https://twitter.com/liputan6dotcom/status/1763764689941696813
Sat Mar 02 03:13:06 +0000 2024;1763764440686792751;"@rabudi2000 @tvOneNews Bener urus aja tu yg punya pondok dan santri nya biar jadi pemimpin seperti nabi Muhammad SAW";0;0;0;1;in;1468817854237605888;1763590815363080341;Mohaminojol;https://twitter.com/Mohaminojol/status/1763764440686792751
Sat Mar 02 03:09:11 +0000 2024;1763763453410574340;"Ha piyee... Wong Liga Santri wae rusuhh.";0;0;0;0;in;1688788497593962496;1763763453410574340;tetappossentot;https://twitter.com/tetappossentot/status/1763763453410574340
Sat Mar 02 03:06:26 +0000 2024;1763762763888050571;"@kegblgnunfaedh Tutup saja Ponpes yg tidak bisa menjamin keamanan santri nya ,";0;0;0;0;in;1493539819124789248;1763391751149236646;Bingeko3;https://twitter.com/Bingeko3/status/1763762763888050571
Sat Mar 02 03:04:22 +0000 2024;1763762242296943047;"So gratefull bisa kuliah di t4 skrng krnaa bisa ngerasain jd santri lagi dan bisa fokus ibadahhh di detik”menuju utbk🥹 Semogaa doa”selama disini bisa diijabah🥹🙏 https://t.co/0lxlJZdeiH";0;1;0;1;in;1560242756156817409;1763762242296943047;masdimmmmmmm;https://twitter.com/masdimmmmmmm/status/1763762242296943047
Sat Mar 02 02:59:58 +0000 2024;1763761136212779330;"@tanyakanrl kyai mana jir yg bilang gitu. lu tanya santri pondok manapun ga ada yg bilang kyai ngajarin kek gitu. paling itu ngajinya setengah² atau ketiduran";0;0;0;0;in;1240251027024007168;1763722213033963897;mlintangmz;https://twitter.com/mlintangmz/status/1763761136212779330
Sat Mar 02 02:56:34 +0000 2024;1763760281807737082;"Santri ko ki Burnol dedo 😂😂";0;0;0;0;in;719830829002833920;1763760281807737082;Rshaikh76;https://twitter.com/Rshaikh76/status/1763760281807737082
Sat Mar 02 02:43:38 +0000 2024;1763757025803280847;"Membaca surat Al Kahfi di hari Jumat dinilai mengandung banyak kebaikan, baik untuk urusan di dunia maupun sebagai bekal di akhirat kelak. Terlebih, hari Jumat adalah sebaik-baik hari dalam satu pekan. Dan inilah kegiatan santri yang sedang membaca surat Al Kahfi di hari jumat. https://t.co/y68lEURS4J";0;0;0;0;in;1136051754;1763757025803280847;rumahyatimtv;https://twitter.com/rumahyatimtv/status/1763757025803280847
Sat Mar 02 02:42:21 +0000 2024;1763756704389542058;"https://t.co/CPRuoHares";0;0;0;0;zxx;1427176334090854403;1763756704389542058;PlosokSantri1;https://twitter.com/PlosokSantri1/status/1763756704389542058
Sat Mar 02 02:29:18 +0000 2024;1763753418999623710;"@YeonjunPHOENIX kata bapak santri, "ok nak, ntar pagi dua ke bapak"";0;0;0;0;in;715460924606287872;1763742189363102173;SunwooBANDUNG;https://twitter.com/SunwooBANDUNG/status/1763753418999623710
